Poisoning(Systemic),Electric Shock,Burn/Scald(Heat),Cancer,Asphyxia,Amputation,Radiation Effects,Foreign Body Ineye,Burn(Chemical),Concussion,Dislocation,Other,Bruise/Contus/Abras,Heat Exhaustion,Strain/Sprain,Cut/Laceration,Hernia,Puncture,Non record,Fracture,Dermatitis,Freezing/Frost Bite,Hearing Loss
2.153300901830537,1.8793968001389452,3.511114043767066,1.5544901037040213,4.634673862252627,4.878971275404797,2.6715462703742507,2.0813610363102546,2.6100012966643686,3.751513643689111,4.993482156214766,1.6926645003485348,2.7598208117087344,3.9644640981850223,2.7598208117087344,2.7598208117087344,4.7025426364952585,2.412373313867159,1.8385230503200765,4.515886885290877,1.9506443911306972,2.886685644324654,3.3074445085661583
1.8780456281136266,1.7126132649301402,1.8356937224560035,2.8927819014130582,3.2398409512495485,3.267988108460182,2.6768901009300925,1.9226318438084034,2.86578829390825,2.106076838161596,1.6995969732629241,4.92295725243466,1.5493448840242008,2.0512239676751625,1.5493448840242008,1.5493448840242008,3.5826275651807906,2.2606211731337136,2.169189524006816,1.988030183916578,2.107312353688558,1.5585047504691185,1.938338869458759
2.3158378637932056,1.6076287423332771,3.9345906364917536,2.2093618081272464,3.6205970024617367,4.45658433174497,2.159710868476571,2.969426990361387,3.0910480990608313,3.1073529643761804,2.770153049012613,1.5457128766744468,4.9138512384408,2.796908585826534,4.16581476166944,4.16581476166944,3.870033269966755,3.9804982799353783,2.5585111058558763,2.353821889282093,2.8996647442910612,3.5057023363374507,2.06564812819967
2.92636547927734,3.4634479998980785,4.065386295568427,1.7300933840096886,3.9086447816269887,4.027437150143909,2.3688423633075457,1.963129565721244,3.4401143137823285,3.892424380118941,3.947981143136187,2.0302017916767574,2.762514333011192,4.915315779960617,2.762514333011192,2.762514333011192,3.5007136229067037,3.1151022251640255,1.7046566133819752,3.494727796495143,3.266643093210307,2.9102026881527743,2.7509520309188753
2.3158378637932056,1.6076287423332771,3.9345906364917536,2.2093618081272464,3.6205970024617367,4.45658433174497,2.159710868476571,2.969426990361387,3.0910480990608313,3.1073529643761804,2.770153049012613,1.5457128766744468,4.16581476166944,2.796908585826534,4.9138512384408,4.16581476166944,3.870033269966755,3.9804982799353783,2.5585111058558763,2.353821889282093,2.8996647442910612,3.5057023363374507,2.06564812819967
2.3158378637932056,1.6076287423332771,3.9345906364917536,2.2093618081272464,3.6205970024617367,4.45658433174497,2.159710868476571,2.969426990361387,3.0910480990608313,3.1073529643761804,2.770153049012613,1.5457128766744468,4.16581476166944,2.796908585826534,4.16581476166944,4.9138512384408,3.870033269966755,3.9804982799353783,2.5585111058558763,2.353821889282093,2.8996647442910612,3.5057023363374507,2.06564812819967
3.461340707492022,2.646509827966388,3.0133747602358927,4.2800913112176655,4.3778361521413895,4.7840329383532545,3.107385035351496,2.52748197165554,3.357184900408092,4.00443436207426,4.699667181272499,3.558857675835024,3.8291484282007064,3.4913710290149123,3.8291484282007064,3.8291484282007064,4.99449039234417,4.3977850560763585,3.619316415802775,4.450336750052805,4.273079770116777,4.230797917279893,3.7277509158070976
4.057664281555438,4.45997170431946,3.709583008819325,4.093431626509898,4.210538782457784,4.801962545757965,3.8380302002247477,2.5814863358737754,3.7034127824958425,3.8863955659519362,2.407293026642062,2.2541409354595983,3.9751970215796835,3.126725036962476,3.9751970215796835,3.9751970215796835,4.414379585448018,4.995588407421088,4.322908497747703,4.463200381929207,3.8967893045269557,4.524268213306122,2.189161656264135
2.7424205906406693,2.185261507625909,2.726834591969453,2.8361343613627117,2.6848277523221133,4.032123142446599,2.674882772376084,1.768753033772946,3.089059203276877,2.850898821469173,1.8516804978291639,2.173436492804906,2.5643668184521946,1.7274347616764638,2.5643668184521946,2.5643668184521946,3.6684755381247176,4.323413436275221,4.834093570518944,2.9898240005831607,3.490112479228859,2.89338341410146,3.437651701670873
3.023021298269491,3.0516215582126427,3.0038924272424397,4.196796555021912,4.166587658305987,4.724609623301431,3.830460878634267,1.7155238874280099,3.8084736393110044,4.572829392871712,4.527570822789742,1.9761206695250473,2.3359557904443027,3.503441992304612,2.3359557904443027,2.3359557904443027,4.465066641654946,4.460757725477748,2.962046297358693,4.985086510083956,2.8616613081839533,4.013728303559945,3.414914608387459
4.239809020183132,1.9122464538067308,3.7463220800806782,3.378061677979897,3.93432212656397,3.4195700349609393,2.8628920716634374,1.9228526284324399,3.8940702992661,2.6546365275124373,1.9619822541017933,2.1154651576767467,2.905203427829582,3.289291023614815,2.905203427829582,2.905203427829582,4.286751867180388,3.904926260449546,3.480084100262145,2.8960797063473653,4.975358091285377,4.097140046964049,2.6516785207064295
3.9661369929183863,1.9294925275982717,3.5284491672827833,2.8931807996873955,3.089553035568607,4.742255658819892,3.6716117594162467,2.219546625378179,2.5669946154355108,2.7172690999884894,2.900568861350277,1.5557231606429207,3.4994311941419296,2.941004634418159,3.4994311941419296,3.4994311941419296,4.259597097895375,4.5251282066307,2.890731443216673,4.027306750515029,4.099587046324683,4.967168406410688,2.4745863674003044
1.6727900362246184,2.767161632501164,2.1745470452224653,2.1358168163786178,2.4250893016147828,4.5025798709239595,2.749879737164748,2.040380458427303,2.306068885762426,3.2633397461843057,3.3334170932259273,1.9396221902490511,2.0686589316683515,2.781191090250445,2.0686589316683515,2.0686589316683515,3.7774556121548537,2.202280571028474,3.4396535397481176,3.435315814258547,2.6423873998653926,2.4734001588053802,4.916522736906359
