 Crushed/run-over of non-operator by operating cons, Wall (earthen) collapse, Crushed/run-over by construction equipment during," Electric shock, other and unknown cause", Crushed/run-over/trapped of operator by operating," Fall, other", Other," Drown, non-lethal fall", Trench collapse, Electrocution by equipment contacting wire, Fire/explosion, Unloading-loading equipment/material (except by cr, Electrocution from equipment installation/tool use, Fall from/with platform catwalk (attached to struc, Asphyxiation/inhalation of toxic vapor, Fall from roof, Fall from/with ladder, Collapse of structure, Fall from/with scaffold, Lifting operations,Non record, Elevator (struck by elevator or counter-weights), Electrocution by touching exposed wire/source, Caught in stationary equipment, Crushed/run-over by highway vehicle, Struck by falling object/projectile, Fall through opening (other than roof), Heat/hypothermia, Fall from vehicle (vehicle/construction equipment), Fall from/with structure (other than roof), Fall from/with bucket (aerial lift/basket)
3.3319114528880434,2.1387507543864577,1.9944064334043454,2.5784325589824713,2.6076226461530414,1.7384524798239012,1.714151436545146,2.326581823969887,1.9520566182662276,2.622622792201155,4.984158843403312,2.245104041538118,2.713111844777836,2.1159798698545496,4.00963156120306,2.536065855546586,2.2781427053882597,1.8301392344275875,2.2070898784823285,1.590537658705554,2.2105765740177974,1.7424333623204173,3.647111042787742,2.0095122544604695,2.561775167687135,2.086715599570623,1.8766657640466329,3.679775455244747,2.2616031491437525,1.9974893882133946,2.804246533893897
3.699714401137692,2.6990582545065047,2.4436279646797328,2.5721651953469586,4.10532309494275,3.1891455329373364,2.74910004475589,2.265172200456588,1.853097965436469,2.8832869847524063,2.2937038810491193,4.729783450038289,1.8286218480860585,2.409529255416556,2.4520022811815396,3.438223983399566,2.3301903488959974,2.0477856023961167,2.2978672089773284,1.8386483383066232,3.254086110945821,2.807621209838392,3.036668796898147,2.501050161604054,3.1939597841144574,3.0260745727500664,3.343369330111173,2.431565814844982,2.2596629895801668,2.76200586392382,2.5986234655513183
3.4761150225185986,1.9775979742300789,3.4324238455635236,2.944999424369688,3.604442260262761,2.198756455951069,2.7672945522545414,3.262057178673518,1.8931732483166555,4.02422013603214,2.762058048667248,1.8242097729489433,4.797198024278909,2.1378746662001267,2.484858727791245,3.0813797775753797,2.017645593751803,1.7253093437878766,2.391361060445835,2.5432302861135394,1.9729659773693105,2.3817099835031854,3.9655399967135114,3.489245510257266,2.5960868247061777,2.0830747381295502,2.1782125248697857,2.178573688237687,3.793237800024946,1.9554665210613598,2.9277740976422977
2.4690555115010855,3.166600432334398,2.5740114597404107,1.6515134297726068,2.573667869872646,3.5770521419290366,1.9977736820087564,2.427553850192306,2.2635226206701513,1.8800788353201598,2.1425524105503957,2.3827103379978043,2.129494136393837,4.764696796436045,1.8338532713645426,3.5626333438596403,4.23347509536665,2.6117297335717535,4.132681904516417,1.9286081491864908,1.8292670659009422,3.6215849700809715,2.032853000956125,2.260410149452167,2.230724052517022,2.2753881188639395,3.8182775353516485,2.7060082755611714,3.5468218927362125,4.050416314835459,4.117055228652664
3.622705377220395,2.466354740572293,2.131884746495369,3.4228611246822336,2.6456235779576227,2.220795266904246,2.4455356056218296,3.493091784206567,2.515202398563256,1.6766890489048731,4.035712377607515,2.4724206362297894,2.5181931185024546,1.8753188904084916,4.876037437617715,3.1607704199534723,2.2943431807058197,2.9937265095090018,1.9013000638699502,1.3652736264537988,3.24823055176169,2.03994587862039,3.932533986690026,3.1229700329805667,2.506410658572029,2.427497165622759,2.3915274181520365,3.7946404154154982,2.586871583570927,2.800909707734702,2.8146147046661074
2.5865701806292667,3.6410181018970027,3.49292821263223,2.603104943377648,2.7282547274858926,4.1184097236034685,2.1366273142690475,4.2772198330593945,3.095194097709677,2.8582368151228,2.593177671781478,3.4383126880067865,3.0942133581085747,3.5689181490617865,3.1447864797822316,4.7554490696921885,4.154255287057949,3.3378289961219116,4.02754311033637,2.227631133909369,3.3020829705501322,3.786874974422216,3.29370917097544,2.7157065514775387,3.3215573843821904,3.568521273166753,3.761646247357727,2.784913596427221,4.250283986466001,3.76613506271436,3.9301945969871857
1.7760456203432655,2.4706743839561605,1.9824177181735672,1.7554175169555908,2.323409802440235,3.9223805556772673,1.8165146001052666,2.4811514426213765,1.8732626543763522,1.7553288302679595,2.308438702286482,2.3033309118941308,2.0096462356993543,4.2342355710482975,2.240753851403327,4.15025780591515,4.881106421055046,2.0114407150624842,4.496268207126398,1.7489221778142592,1.7336891847137719,2.9967038515216746,1.9285648843495564,2.030172518589717,1.94274105318094,3.2364401629136066,3.878994246322878,2.65314357566542,3.0491336437955,4.136694720969161,4.159607108656312
1.9590265097531219,4.536523888362042,2.1638223696318653,1.856335327519758,3.0064024471012543,1.8753438418821538,1.4946789565092973,1.7506138006817857,4.753760667172156,1.7768820113342607,1.8502180161028103,2.049145056517756,1.7298388520479082,2.627747811118076,2.982072139926613,3.344512186463587,2.025955932941608,4.984687412230404,2.316795134481975,2.6941241464179297,1.9908211022988658,2.68660725505188,2.1215870806861648,1.8822527047326738,1.7504138462532661,2.51331673719954,2.6421328841357377,2.04245137798467,1.8866358625424922,3.249450581292538,1.77232544991176
1.7976389236331305,3.1049846141303106,3.3056837229843485,1.986212051544116,2.5565179136178724,4.012190781047636,1.9106716746250143,2.7487705080962566,2.0150947525513354,2.2709732643530756,2.2387627702215154,2.280533523036379,2.3881412630020753,4.133366872863552,1.8632831953642668,4.02268183758836,4.497624576093785,2.3032507545032073,4.846723337278368,2.27395546444132,1.5131557927835875,2.6771369039579973,2.22062249164667,2.8449094752704056,1.8881468968695028,2.7856530739455363,3.9370271079117574,2.2942152407163126,3.5792832445381584,4.09723594011772,4.083747933731289
2.3729345644721316,1.9130431797633651,3.369847735074508,1.4048264011072278,3.5631937921448853,1.5431545647172833,1.638177014372507,1.8447372388120655,2.100249366080674,3.0681436216925877,1.5934857506364293,1.8161672795676143,2.5191155074864415,1.9111527459124318,1.338184825603559,2.2039112876992015,1.7395303418164714,2.661686665113575,2.2491888372618716,4.844001155840775,1.9251731102279641,2.6941435272629635,2.464385104042808,3.613070706172061,1.53684758054077,2.2294698547483334,2.061224595542252,1.5272149790019478,2.8167947439687273,1.9617116977043838,2.5255007779198655
