SummaryNr,Degree,Nature,Occupation,FallDist,Cause,FatCause
202077129,4,6,6,3,2,2
202362976,3,7,15,1,1,4
300833019,3,1,2,1,2,7
170835052,3,7,2,2,2,2
201352978,4,3,5,1,3,7
200072734,4,1,2,1,1,4
201179017,3,7,2,2,2,7
201352952,4,3,5,1,3,7
201069655,3,1,5,1,3,7
200032597,4,6,12,3,8,7
201167574,3,7,15,1,2,7
200712727,4,1,14,1,2,4
170368682,4,6,2,2,2,2
201506243,3,1,15,1,10,4
202462917,3,1,2,2,2,2
202076998,4,6,15,2,3,7
202340931,4,3,12,2,8,4
202357836,3,5,2,2,3,7
170835110,4,7,15,1,11,4
200774255,3,7,12,2,2,7
200801462,3,1,12,3,2,7
201692365,3,5,15,2,2,2
201087210,3,1,2,2,1,7
201488244,3,1,12,1,2,7
202462834,3,1,2,2,2,7
171044035,3,1,1,1,4,7
201069671,3,1,2,1,2,7
201522604,3,6,5,3,2,2
200643419,4,1,12,2,10,7
201506052,3,1,12,2,2,7
200774206,3,7,12,2,3,7
201167434,4,3,2,1,3,7
201167368,3,1,15,1,2,7
202365243,4,6,12,3,2,4
201107216,3,1,2,1,2,7
201087186,3,1,15,3,2,2
125534040,3,1,2,2,2,7
200923274,4,6,15,2,2,2
200801454,3,1,2,3,4,4
202359212,3,1,6,2,2,2
201147303,4,6,2,3,2,2
200072668,4,6,2,3,2,2
201042371,3,5,2,3,2,2
202340865,4,6,15,3,6,4
201069424,3,3,1,1,10,7
201147345,3,1,1,2,3,2
201407509,4,7,15,1,2,4
201261872,1,1,12,3,3,7
201261872,4,3,12,3,3,7
201522471,4,3,12,2,2,7
202462586,3,1,2,2,12,7
200774180,3,1,12,2,2,2
200513836,4,3,12,3,4,7
201407699,4,7,15,2,2,7
202076790,4,6,2,2,1,7
200774131,3,1,12,2,2,7
201179272,3,1,2,2,3,4
201147204,3,1,15,1,2,2
202358461,1,7,2,1,2,2
201612959,3,1,2,2,2,2
201701844,3,1,15,2,3,2
170765853,3,1,2,1,2,7
201177433,3,1,2,2,4,2
202315602,4,1,15,3,2,2
201147220,3,1,2,2,2,2
200530046,4,3,2,1,2,7
201370954,4,3,12,3,7,7
202441747,3,1,3,1,3,7
201407426,4,3,15,1,11,4
202441895,3,1,2,2,2,7
201506144,3,1,2,2,2,4
201182508,3,1,15,1,4,7
201488053,3,1,15,2,3,7
201488053,3,7,15,2,3,7
201202975,3,1,5,3,1,7
201069028,3,7,15,1,2,4
200774040,3,1,12,2,11,7
201086717,3,1,2,1,2,4
200331551,4,3,12,2,2,2
201106242,4,6,15,3,2,2
201059797,3,1,2,2,1,7
202462214,3,6,1,1,2,4
202441275,4,6,15,1,1,7
202451555,3,1,15,1,2,2
201772845,4,3,12,1,2,7
201261815,4,6,12,2,2,7
201119369,3,1,2,1,16,4
201177896,3,1,1,2,10,7
201020534,3,3,2,2,2,2
201119070,4,6,2,2,2,7
202356978,3,5,15,2,4,7
202345302,4,7,1,2,3,2
201146594,4,6,2,1,3,4
201146818,3,7,14,1,2,4
201505682,3,3,15,2,2,7
201261799,3,1,5,3,2,2
170868202,3,1,2,1,2,4
201037272,3,3,2,2,2,2
202441077,3,1,2,1,2,2
200001980,4,1,12,3,2,7
201146768,3,3,5,1,3,4
200822856,4,1,12,2,3,7
201751385,4,6,12,1,2,2
201780806,4,1,5,2,2,2
200921740,4,1,5,1,11,4
200373330,4,6,1,3,2,2
200921716,4,1,12,2,2,4
201250123,4,1,15,1,13,2
200631158,4,3,2,3,2,7
202344909,4,1,12,2,2,7
201118924,3,6,15,1,5,7
200262558,4,3,12,3,2,7
202357083,3,1,6,1,2,4
200712404,4,1,5,2,2,2
201125390,3,1,12,2,3,7
200921674,4,6,6,2,2,2
201612850,3,3,2,1,2,2
200570901,4,3,12,2,2,7
200801256,3,1,2,1,2,7
202440202,3,1,2,1,4,7
201862687,4,7,15,3,3,7
201862687,4,7,15,3,3,7
200001915,4,3,12,3,2,2
201780731,4,1,2,1,4,4
201118767,4,1,2,1,3,7
201572773,4,3,12,3,2,7
201281888,4,7,12,2,3,2
201505484,3,5,1,1,2,7
201068525,3,1,5,1,3,7
170765200,3,1,1,2,3,7
200202380,4,1,12,2,2,4
201068442,3,1,15,1,6,7
201176831,3,1,6,1,2,2
306022948,3,7,12,2,3,7
201407269,4,1,12,2,2,7
201407269,4,1,12,3,2,2
200980514,4,6,2,2,2,2
170765036,3,1,2,1,3,4
201068236,3,1,2,1,2,7
202439840,3,1,15,2,1,7
200712339,4,6,12,2,1,7
201166105,3,6,15,2,2,7
201125168,3,7,12,2,2,2
201176609,3,1,2,1,2,2
170765176,3,1,2,1,2,7
201176047,3,1,2,1,2,4
201281821,4,7,12,3,3,4
202344750,4,1,2,1,2,2
200262475,4,6,12,3,2,7
200262475,1,6,12,3,2,7
201522109,3,7,12,1,3,7
201068087,3,1,2,2,2,2
200528917,4,6,15,3,3,7
200022960,4,6,12,1,1,4
201036381,3,6,2,2,2,2
202086815,3,1,15,3,2,2
200773372,3,1,12,1,2,4
170839237,3,1,2,2,2,2
201352549,4,7,12,2,2,7
201182367,3,1,15,1,2,7
202075925,1,7,12,2,2,2
201751302,4,6,6,2,2,2
201751310,4,1,12,1,3,7
201067709,3,6,2,2,2,7
201067709,3,1,2,2,2,7
200623031,4,7,12,2,10,2
201117959,3,6,5,2,2,7
201166295,3,1,12,1,3,7
200773588,3,1,12,1,2,4
201117868,3,1,15,2,3,7
201407152,4,1,15,1,8,7
201857778,4,1,5,2,2,2
200202372,4,6,12,1,11,7
201486677,3,1,12,2,2,7
202340550,4,6,12,3,2,7
202340550,3,6,12,3,2,7
202340550,3,6,12,3,2,7
200602639,4,3,15,2,10,2
201182060,3,1,2,1,11,7
201486644,3,6,2,2,2,7
201561099,4,1,2,1,2,7
201634482,3,1,2,2,2,7
201923174,4,1,1,1,2,7
201522000,1,7,12,1,1,4
201058534,3,1,2,1,1,7
201352465,4,7,12,2,5,7
201701687,3,1,12,1,2,2
200353878,4,3,12,1,3,7
201486446,3,1,12,1,2,7
202075735,3,1,12,2,5,7
201561073,4,6,12,3,8,4
201165966,3,3,15,1,2,7
202251351,1,1,15,1,3,7
201941820,3,1,12,2,3,4
201085446,3,1,15,1,2,2
201504826,4,6,1,2,3,7
300895000,4,1,19,3,8,7
202344289,4,6,5,2,3,7
201084969,1,1,1,2,5,7
202013975,4,1,2,3,2,7
200674703,4,6,2,1,4,7
200553261,4,6,5,2,2,2
201923059,4,3,12,3,2,2
200372969,1,7,2,3,2,7
200372969,3,1,1,3,2,7
200372969,1,1,1,3,2,7
201159142,3,1,15,1,10,7
201085065,3,1,2,1,6,7
201281680,4,3,12,1,2,7
201067352,3,1,5,1,3,7
201352366,4,3,2,1,1,7
202314043,3,1,12,2,1,7
201144904,3,1,2,2,2,4
201165693,3,1,15,1,8,7
200081859,4,1,12,1,1,7
202351490,4,1,12,1,3,7
170075329,4,1,12,3,8,7
201174695,4,6,6,1,8,7
201067246,3,1,2,1,2,2
202086617,4,7,15,3,2,2
202353348,3,5,5,2,2,2
201330669,4,6,1,2,3,4
200231439,3,1,15,2,2,4
202340519,4,3,12,1,10,7
201989951,3,1,12,1,2,2
201202413,3,1,2,2,3,4
200622728,4,6,15,2,2,7
202344149,4,1,12,2,8,7
201504552,3,1,15,1,6,7
201165537,3,7,15,1,6,7
201175676,3,1,15,2,2,4
200772911,3,1,12,2,6,2
201281623,4,7,6,3,3,7
