SummaryNr,Degree,Nature,Occupation,FallDist,Cause,FatCause,TaskAssigned,HumanFactor,EnvironmentFactor,EventType,SourceInjury,PartBody,ProjType, ProjCost,EndUse
200881696,2,1,0,3,1,4,1,4,1,1,1,2,1,4,2
200263804,2,3,1,1,0,3,1,1,1,1,2,1,1,2,2
201022571,1,1,1,2,0,1,1,2,1,1,4,0,3,1,2
202551321,1,1,0,1,0,2,1,2,2,1,3,2,1,6,1
200625564,2,2,1,2,1,1,1,2,2,1,2,0,2,2,1
201509619,1,1,0,1,0,3,1,2,2,1,1,0,2,1,4
202600045,1,3,3,2,0,1,2,1,1,1,2,1,3,1,0
202504692,2,2,2,1,2,1,1,1,2,1,4,1,3,2,2
201509510,1,0,3,1,2,2,1,1,2,1,3,4,3,1,4
202600037,1,1,1,1,0,2,1,7,1,1,5,0,1,2,2
201702867,1,1,1,3,0,1,1,3,2,1,4,4,2,5,4
202560827,2,4,1,1,0,3,1,0,1,1,1,1,1,2,2
200514941,2,3,0,2,0,2,1,2,2,1,3,1,1,4,1
201127271,1,1,4,1,1,3,1,2,2,1,4,0,2,3,1
200998276,2,2,2,1,0,5,1,1,2,0,4,1,2,1,3
201493210,1,1,0,1,0,2,1,6,0,0,3,0,0,1,1
202468294,2,0,3,1,0,3,2,7,2,1,5,1,1,3,2
202599783,1,1,2,1,2,3,1,1,3,1,2,0,1,6,4
202541066,1,1,3,2,0,2,1,1,4,1,3,0,1,5,2
201022340,1,1,1,1,0,1,1,1,1,1,1,1,1,4,3
202540902,1,1,3,3,0,3,1,1,4,1,2,2,1,5,2
202550638,2,2,0,2,3,5,1,1,2,1,4,1,1,5,0
202476271,1,1,3,1,1,1,1,2,2,1,2,0,1,1,2
201773470,1,2,2,2,0,3,1,5,1,1,2,1,1,4,1
200533081,2,3,3,1,2,2,1,4,3,1,5,1,2,1,2
202529814,1,1,0,1,0,4,1,3,2,1,0,0,2,1,1
202540712,1,1,1,1,2,2,1,0,3,0,3,0,3,1,4
202550695,1,1,0,2,0,4,1,1,2,1,4,3,1,3,1
201751864,2,1,3,1,0,2,2,2,2,1,3,1,1,5,1
200541860,2,4,1,2,1,4,1,3,2,1,3,2,2,1,2
202342382,1,4,3,1,0,6,1,1,2,1,1,0,2,5,4
200625416,1,2,2,2,0,3,1,2,1,1,1,4,1,6,0
202342432,1,1,1,2,0,6,1,3,2,1,0,4,1,3,4
201204187,1,1,2,2,2,4,1,1,1,1,3,2,1,4,4
202550307,1,2,0,2,0,4,1,0,1,1,0,0,2,1,2
201184835,1,1,0,2,0,4,1,1,1,1,3,4,2,2,1
201638525,1,1,1,3,1,1,1,1,1,1,2,2,1,3,1
201127073,1,1,4,2,1,1,1,1,1,1,2,2,1,6,2
202586319,1,1,1,1,0,2,1,2,1,1,3,5,2,2,2
201492824,1,3,0,2,0,3,1,6,1,1,0,0,0,1,3
202455564,1,1,3,1,2,2,2,2,4,1,5,0,2,1,2
201638517,1,1,1,2,2,4,1,4,1,1,2,4,2,1,2
201184975,1,1,2,1,0,2,1,4,2,1,3,0,0,2,2
202586350,3,1,1,1,0,1,1,5,1,1,2,0,1,5,2
202585949,1,3,2,1,0,4,1,1,2,1,4,1,2,3,2
201614138,3,1,3,2,0,3,0,0,0,0,0,0,1,4,4
200831527,1,4,4,3,2,1,0,0,0,0,0,0,1,3,4
201074226,1,1,2,1,2,1,1,1,1,1,2,0,1,5,2
201523297,1,1,4,2,1,1,1,5,1,1,2,0,3,1,1
202540498,1,1,1,1,0,1,1,2,1,1,5,1,1,4,2
201955705,1,1,1,1,0,3,1,3,1,1,2,0,1,3,4
202467981,1,1,3,1,2,3,2,2,0,1,1,4,2,2,2
202507000,3,1,1,1,0,4,1,2,2,1,5,4,2,2,1
170766802,2,4,0,2,0,1,2,0,1,1,1,2,1,3,2
202529624,1,3,2,1,0,4,2,2,4,1,0,1,2,1,1
202540605,1,1,0,3,0,4,1,5,1,1,1,2,1,3,4
202529459,1,0,3,2,0,4,1,1,2,1,4,0,0,1,2
201509163,1,1,0,2,0,2,1,1,4,1,2,0,1,5,3
201044146,1,1,1,2,2,3,1,2,2,1,2,2,1,3,4
200925600,2,4,0,1,0,0,0,0,0,0,0,0,1,7,4
201073608,1,1,0,1,0,0,2,2,2,1,4,2,0,0,0
202467759,1,1,3,1,0,2,1,2,2,1,5,0,2,1,2
202540019,3,4,3,2,0,3,1,2,2,1,1,0,1,7,2
200742450,2,2,3,1,1,0,1,2,2,0,4,0,3,1,2
200625150,1,2,0,1,0,5,1,1,1,1,1,1,1,1,2
201491750,2,3,2,1,2,3,1,1,1,1,2,1,1,4,2
200604163,2,4,1,3,0,4,1,1,1,1,1,2,1,6,0
202573671,3,3,1,1,0,4,1,3,2,1,4,1,1,3,1
202506846,1,1,0,3,0,1,1,0,3,1,5,0,3,1,2
170835995,1,1,2,1,2,4,1,1,1,1,5,0,2,3,2
201562220,2,2,3,1,0,0,1,3,2,1,1,1,0,0,0
202540258,1,1,0,1,0,5,1,0,4,1,2,0,1,3,4
202540001,1,1,3,2,2,2,1,4,4,1,3,4,2,5,2
202560587,1,0,3,3,2,1,1,6,2,1,2,1,1,4,2
201043999,1,1,0,1,0,0,1,1,2,1,4,2,1,6,4
200758738,2,1,4,3,1,3,1,1,2,1,1,1,1,5,1
202488292,1,1,0,1,0,2,2,0,2,1,1,2,0,1,3
202342267,2,3,1,2,0,2,1,7,1,1,3,1,2,6,1
200925550,2,3,2,1,0,4,1,1,2,1,1,1,1,4,1
202539995,1,1,1,1,0,5,2,1,2,1,4,0,2,3,2
202079737,1,1,3,3,0,6,1,2,1,1,1,2,1,6,4
201073715,1,1,2,1,1,0,1,1,2,1,2,0,3,1,1
200357309,1,1,1,2,0,6,1,0,3,1,2,0,1,4,4
201638277,1,1,1,1,0,0,0,0,0,0,0,0,2,5,1
201021961,1,1,3,2,2,2,1,2,2,1,3,0,1,1,2
201126919,1,1,2,1,0,3,1,2,2,1,5,1,1,2,2
202517892,2,2,0,3,0,6,1,3,1,1,2,0,2,4,1
202549382,1,1,0,1,0,2,1,7,1,1,5,0,1,3,4
202518213,1,1,3,3,1,1,1,3,1,1,1,2,1,2,1
202518296,1,1,2,2,4,3,2,5,1,1,1,2,1,2,1
202487674,1,1,0,1,0,2,1,3,2,1,2,2,1,6,1
202506671,3,1,0,1,1,1,1,0,3,1,4,0,1,4,2
202528873,1,2,2,3,0,3,1,3,0,0,4,0,1,5,3
201072923,1,1,3,3,0,1,1,3,3,1,5,2,2,6,4
202466926,1,1,3,2,0,2,1,6,2,1,3,5,1,6,4
201942695,1,1,4,3,0,1,1,5,2,1,2,0,3,1,1
171044258,1,1,2,1,0,5,1,1,1,1,5,3,1,3,0
200613016,1,1,1,2,0,3,2,7,1,0,1,0,2,3,1
201184546,1,1,0,1,2,5,1,1,1,1,1,4,0,1,3
200775500,3,1,1,2,2,4,1,4,1,1,1,2,1,2,2
202518544,1,2,3,2,2,1,1,5,1,1,5,2,1,6,1
202288932,1,3,2,3,2,6,1,1,1,1,1,1,1,7,0
