SummaryNr,Degree,Nature,Occupation,FallDist,Cause,FatCause,TaskAssigned,HumanFactor,EnvironmentFactor,EventType,SourceInjury,PartBody,ProjType, ProjCost,EndUse
201507027,1,1,1,1,2,3,1,1,1,1,1,5,1,3,2
201636503,1,0,4,2,1,2,1,7,1,1,3,3,1,4,2
200623973,2,4,4,2,1,1,1,1,1,1,5,1,3,1,1
201507191,1,1,2,2,8,3,1,3,1,1,2,6,1,6,1
202452801,1,1,3,1,20,2,1,1,2,1,3,4,1,1,1
201168333,3,3,2,1,8,2,1,2,2,1,3,1,2,1,1
201353182,2,1,1,3,4,3,2,7,1,1,1,2,1,7,1
200901908,2,3,1,1,1,7,2,6,4,1,1,3,1,4,3
200901908,3,0,1,1,1,7,2,6,4,1,1,5,1,4,3
201168275,1,1,7,1,5,2,1,6,1,1,2,4,3,2,2
201488988,1,1,2,1,2,3,1,1,2,1,5,11,1,7,3
201203346,1,1,1,1,2,6,1,3,1,1,1,10,1,2,2
202443750,1,4,2,1,2,5,1,2,1,1,1,1,1,5,2
200531143,2,2,2,2,2,3,1,2,1,1,4,1,1,4,2
200612257,2,1,1,2,5,2,2,4,1,1,2,1,2,1,2
201148293,1,2,3,2,3,6,1,2,1,1,1,2,1,4,1
201506755,1,1,2,1,2,5,1,1,2,1,1,2,1,6,4
202366019,1,1,1,1,2,4,1,1,1,1,1,1,4,1,3
201992476,1,1,2,2,2,3,1,6,4,1,5,2,1,3,1
201992476,1,1,2,2,2,3,1,6,4,1,5,11,1,3,1
201070190,1,1,2,1,8,9,1,6,1,1,1,3,1,3,4
202362190,3,1,2,1,8,7,2,2,2,1,4,8,1,2,3
202463105,1,1,1,2,2,4,1,4,2,1,2,0,2,1,4
201506664,1,1,1,1,2,5,1,1,1,1,1,5,1,2,2
202495438,1,1,2,1,6,5,1,1,1,1,1,4,1,3,4
201125887,1,1,7,2,10,4,1,4,2,1,3,2,3,2,4
201272457,2,1,1,3,3,1,1,7,1,1,2,1,1,4,1
200202745,2,1,1,2,18,6,1,1,1,1,2,1,1,5,2
201380789,2,2,3,1,6,3,2,2,2,1,2,1,1,3,2
201800802,1,1,3,2,15,3,1,2,2,1,4,5,1,5,8
201108388,1,1,2,2,15,3,1,3,1,1,1,2,1,2,8
201087806,1,1,3,2,2,3,1,1,1,1,2,6,1,4,2
202463543,1,1,1,2,3,3,1,1,1,1,1,0,1,5,1
171044100,1,1,6,2,19,6,1,1,1,1,5,11,4,2,1
200541399,2,1,1,1,13,3,1,3,1,1,1,1,1,5,2
201506540,1,1,1,2,2,1,1,3,1,1,4,6,1,2,2
200032696,2,2,1,3,2,1,2,1,1,1,1,2,1,7,3
201107752,1,1,3,1,11,2,1,6,4,1,3,2,1,1,2
200082576,1,1,1,3,10,4,1,4,3,1,7,2,1,6,1
202450474,2,4,1,2,1,1,1,1,1,1,1,1,3,1,1
201488491,1,1,2,2,2,3,1,1,1,1,5,3,1,5,3
201613049,3,1,2,1,10,5,1,7,1,1,1,5,1,6,1
201635778,1,1,2,2,6,6,1,1,1,1,1,6,1,6,4
201147865,1,2,2,2,6,5,1,2,2,1,4,3,1,6,1
170388979,2,1,4,2,1,1,2,3,2,1,2,8,1,2,2
309515641,2,1,1,2,2,2,1,2,2,1,3,10,1,2,2
200783793,2,1,3,2,5,6,2,9,1,1,1,1,2,2,1
202077129,2,2,6,3,1,1,1,1,2,1,4,10,1,4,2
202362976,1,4,3,1,8,5,1,2,2,1,1,3,1,4,2
300833019,1,1,2,1,2,2,1,2,1,1,3,3,1,2,2
200072734,2,1,2,1,8,5,1,1,1,1,1,2,1,4,2
201179017,1,4,2,2,2,4,1,2,2,1,4,4,1,4,2
200032597,2,2,1,3,10,3,2,6,1,1,2,2,1,6,3
170368682,2,2,2,2,2,1,1,1,1,1,2,1,1,5,1
202462917,1,1,2,2,2,1,1,1,1,1,1,10,1,5,2
202076998,2,2,3,2,23,10,1,2,2,1,4,1,1,2,3
202357836,1,0,2,2,23,4,1,2,1,1,3,0,2,4,2
